0,Шут,"Новые начинания, спонтанность, оригинальность, беззаботность"
1,Маг,"Сила, энергия, концентрация, действие, сознательное творчество"
2,Верховная Жрица,"Интуиция, подсознание, тайна, мудрость, спокойствие"
3,Императрица,"Плодородие, изобилие, материнство, чувственность, природа"
4,Император,"Авторитет, структура, контроль, лидерство, закон и порядок"
5,Иерофант,"Традиция, конформизм, наставления, верования, духовность"
6,Влюбленные,"Выбор, партнерство, союз, гармония, испытание отношений"
7,Колесница,"Триумф, победа, продвижение, решимость, самоконтроль"
8,Сила,"Внутренняя сила, смелость, сострадание, влияние, убеждение"
9,Отшельник,"Уединение, самоанализ, внутренний поиск, мудрость, духовное просветление"
10,Колесо Фортуны,"Перемены, циклы, судьба, карма, поворотный момент"
11,Справедливость,"Истина, беспристрастность, закон, ответственность, причина и следствие"
12,Повешенный,"Пауза, жертва, расставание с чем-то, новая перспектива, прозрение"
13,Смерть,"Окончание, трансформация, переход, очищение, новое начало"
14,Умеренность,"Баланс, умеренность, терпение, адаптация, цель и средства"
15,Дьявол,"Теневая сторона, искушение, зависимость, материализм, заблуждения"
16,Башня,"Внезапные перемены, освобождение, откровение, крах, прозрение"
17,Звезда,"Надежда, вера, обновление, вдохновение, генеральная линия"
18,Луна,"Иллюзии, интуиция, загадки, неизвестность, страхи, подсознание"
19,Солнце,"Позитив, ясность, уверенность, успех, жизненная сила"
20,Суд,"Призыв, пробуждение, обновление, окончательное решение, искупление"
21,Мир,"Завершение, интеграция, путешествие, совершенство, полнота"
22,Туз Жезлов,"Вдохновение, новые начинания, потенциал, энтузиазм, творчество"
23,Двойка Жезлов,"Планирование, принятие решений, будущие цели, прогресс"
24,Тройка Жезлов,"Расширение, рост, исследование, дальние путешествия, сотрудничество"
25,Четверка Жезлов,"Празднование, гармония, счастье, объединение, брак"
26,Пятерка Жезлов,"Конфликт, соревнование, борьба, разногласия, беспокойство"
27,Шестерка Жезлов,"Победа, успех, признание, уверенность в себе, популярность"
28,Семерка Жезлов,"Защита, настойчив"
29,Восьмерка Жезлов,"Быстрое действие, прогресс, скорость, решительность, движение вперед"
30,Девятка Жезлов,"Стойкость, настойчивость, решимость, внутренняя сила, выносливость"
31,Десятка Жезлов,"Перегрузка, стресс, чрезмерная ответственность, тяжелая ноша"
32,Паж Жезлов,"Энтузиазм, авантюризм, новые идеи, послания, вдохновение"
33,Рыцарь Жезлов,"Энергия, страсть, порыв, свободный дух, путешествия"
34,Королева Жезлов,"Уверенность, самодостаточность, щедрость, оптимизм, притягательность"
35,Король Жезлов,"Лидерство, видение, предпринимательство, харизма, вдохновение"
36,Туз Кубков,"Новая любовь, сострадание, творчество, позитивные эмоции"
37,Двойка Кубков,"Партнерство, союз, взаимная любовь, гармония, баланс"
38,Тройка Кубков,"Празднование, дружба, сообщество, радость, совместное творчество"
39,Четверка Кубков,"Самоанализ, переоценка, скука, застой, новые возможности"
40,Пятерка Кубков,"Потеря, сожаление, разочарование, одиночество, утешение"
41,Шестерка Кубков,"Ностальгия, невинность, детство, простые радости, подарки"
42,Семерка Кубков,"Выбор, фантазии, иллюзии, мечты, искушения"
43,Восьмерка Кубков,"Уход, смена направления, поиски, духовное путешествие, отказ"
44,Девятка Кубков,"Удовлетворение, эмоциональная стабильность, желания сбываются, благодарность"
45,Десятка Кубков,"Гармония в отношениях, любовь, счастливая семейная жизнь, поддержка"
46,Паж Кубков,"Творческое вдохновение, интуиция, чувствительность, учеба, послания любви"
47,Рыцарь Кубков,"Романтика, обаяние, воображение, предложение, приглашение"
48,Королева Кубков,"Сострадание, забота, понимание, поддержка, зрелая любовь"
49,Король Кубков,"Мудрость, дипломатия, терпимость, покровительство, зрелость чувств"
50,Туз Мечей,"Прорыв, ясность, прозрение, истина, победа через борьбу"
51,Двойка Мечей,"Равновесие, нерешительность, тупик, компромисс, выбор"
52,Тройка Мечей,"Разбитое сердце, печаль, боль, расставание, предательство"
53,Четверка Мечей,"Отдых, восстановление, уединение, медитация, передышка"
54,Пятерка Мечей,"Конфликт, поражение, унижение, нечестность, жестокость"
55,Шестерка Мечей,"Переход, смена обстановки"
56,Семерка Мечей,"Хитрость, уловки, попытка избежать проблем, предательство, побег"
57,Восьмерка Мечей,"Ограничения, беспомощность, жертвенность, самосаботаж, страх действовать"
58,Девятка Мечей,"Тревога, кошмары, отчаяние, травма, бессонница"
59,Десятка Мечей,"Крах, поражение, боль, предательство, конец трудных времен"
60,Паж Мечей,"Любопытство, проницательность, прямота, шпионаж, сплетни"
61,Рыцарь Мечей,"Быстрое мышление, смелость, напористость, агрессивность, импульсивность"
62,Королева Мечей,"Независимость, прямота, объективность, честность, острый ум"
63,Король Мечей,"Авторитет, интеллект, правда, справедливость, лидерство через общение"
64,Туз Пентаклей,"Новые возможности, процветание, изобилие, безопасность, стабильность"
65,Двойка Пентаклей,"Баланс, адаптация к изменениям, гибкость, приоритеты, многозадачность"
66,Тройка Пентаклей,"Работа в команде, мастерство, обучение, сотрудничество, строительство"
67,Четверка Пентаклей,"Контроль, стабильность, безопасность, консерватизм, скупость"
68,Пятерка Пентаклей,"Финансовые трудности, беспокойство, одиночество, изоляция, лишения"
69,Шестерка Пентаклей,"Щедрость, благотворительность, получение помощи, совместное использование ресурсов"
70,Семерка Пентаклей,"Терпение, настойчивость, видение долгосрочной перспективы, вложения, рост"
71,Восьмерка Пентаклей,"Мастерство, целеустремленность, обучение, прилежание, совершенствование навыков"
72,Девятка Пентаклей,"Изобилие, роскошь, финансовая независимость, самодостаточность, благополучие"
73,Десятка Пентаклей,"Богатство, успех, семейное наследие, стабильность, традиции"
74,Паж Пентаклей,"Проявление, финансовая возможность, новая работа, стипендия, учеба"
75,Рыцарь Пентаклей,"Трудолюбие, преданность, надежность, продуктивность, рутина"
76,Королева Пентаклей,"Процветание, плодородие, щедрость, безопасность, практичность"
77,Король Пентаклей,"Богатство, бизнес, лидерство, безопасность, дисциплина, изобилие"
